PRNAME,CARUID,crop,forecastYear,forecastMonth,PR ID,Forecasted Median Yield,Forecasted 10th Percentile Worst Yield,Forecasted 90th Percentile Best Yield,% Departure from the Long Term (1987-last year) Mean Yield,% Departure from the Last 5 Years (2019-2023) Mean Yield,% Departure from Last Year's Mean Yield,Crop Potential Index,Bravis-Pearson Coefficients of Determination (R2),Root Mean Square Error,LATITUDE,LONGITUDE
Saskatchewan,4705,barley,2024,7,47,65.99,56.18,75.8,21.54,-1.83,-1.95,-0.11,0.72,5.73,50.58200073,-102.3919983
Saskatchewan,4714,barley,2024,7,47,72.97,59.87,86.07,26.27,3.09,-0.32,0.19,0.73,6.6,53.01649857,-103.3099976
Saskatchewan,4709,barley,2024,7,47,72.16,61.96,82.36,27.87,4.49,-5.18,0.25,0.72,6.38,51.7173996,-102.4309998
Manitoba,4601,barley,2024,7,46,70.4,59.4,81.4,21.75,-0.93,6.34,-0.08,0.75,5.73,49.27149963,-100.3990021
Manitoba,4608,barley,2024,7,46,83.78,70.92,96.65,26.66,6.22,8.53,0.38,0.67,7.23,49.27899933,-98.30419922
Manitoba,4609,barley,2024,7,46,80.55,65.41,95.71,29.48,2.56,2.75,0.4,0.57,11.59,49.63000107,-96.80410004
Manitoba,4604,barley,2024,7,46,72.76,63.42,82.1,21.27,-0.6,1.62,-0.06,0.51,6.61,51.0135994,-101.1809998
Manitoba,4602,barley,2024,7,46,66.78,55.28,78.26,13.82,-4.87,-16.21,-0.3,0.65,6.75,49.79869843,-100.2649994
Manitoba,4603,barley,2024,7,46,69.77,58.25,81.3,14.84,-8.56,-20.17,-0.63,0.7,6.96,50.34700012,-100.387001
Manitoba,4606,barley,2024,7,46,60.81,49.64,71.98,5.19,-7.77,,-0.61,0.45,7.77,51.12139893,-99.88110352
Manitoba,4605,barley,2024,7,46,78.71,66.11,91.31,32.25,-0.97,-1.98,-0.06,0.75,6.72,52.08010101,-101.052002
Manitoba,4607,barley,2024,7,46,73.82,61.42,86.22,14.37,5.12,-1.97,0.26,0.57,8.51,49.98550034,-98.45970154
Manitoba,4611,barley,2024,7,46,70.33,53.83,86.82,16.9,3.12,-14.03,0.13,0.53,10.57,50.22650146,-97.2460022
Manitoba,4610,barley,2024,7,46,46.27,29.73,62.81,-7.52,-23.01,-23.01,-1.27,0.53,11.64,49.73680115,-95.84950256
Manitoba,4612,barley,2024,7,46,51.14,39.39,62.89,-7.28,-19.46,,-0.91,0.7,7.53,55.729599,-97.167099
Ontario,3505,barley,2024,7,35,67.35,60.21,74.49,8.15,1.03,2.2,0.1,0.59,3.8,51.1882019,-86.91320038
Ontario,3501,barley,2024,7,35,72.97,57.15,88.8,18.35,-2.88,-19.1,-0.15,0.43,11.7,42.83430099,-81.15840149
Ontario,3502,barley,2024,7,35,70.63,65.32,75.93,10.66,1.04,-1.08,0.15,0.43,3.97,44.06389999,-80.59929657
Ontario,3503,barley,2024,7,35,54.76,42.78,66.74,-0.86,-11.07,,-0.39,0.42,7.04,44.89519882,-78.82150269
Ontario,3504,barley,2024,7,35,57.71,50.97,64.45,-1.66,-4.49,-8.4,-0.42,0.35,4.51,45.12820053,-76.3615036
Quebec,2410,barley,2024,7,24,63.05,52.29,73.8,0.33,1.14,26.6,0.07,0.34,6.28,45.21229935,-73.78250122
Quebec,2409,barley,2024,7,24,66.65,55.48,77.83,2.22,2.66,11.83,0.11,0.29,8.11,45.51089859,-72.90090179
Quebec,2406,barley,2024,7,24,50.38,37.92,62.85,2.97,28.04,,1.96,0.37,8.46,46.56259918,-75.8506012
Quebec,2405,barley,2024,7,24,61.99,50.18,73.8,0.56,1.96,31.61,0.06,0.5,8.49,46.57379913,-73.90589905
Quebec,2411,barley,2024,7,24,53.18,41.33,65.03,-0.56,0.86,37.05,0.03,0.56,5.88,46.09189987,-72.14859772
Quebec,2404,barley,2024,7,24,65.18,53.34,77.03,24.6,16.4,,0.66,0.78,3.91,45.46530151,-71.58560181
Quebec,2403,barley,2024,7,24,61.62,48.56,74.67,8.47,5.2,74.57,0.15,0.61,6.99,47.63639832,-72.93379974
Quebec,2408,barley,2024,7,24,58.04,45.84,70.25,10.91,6.34,28.98,0.28,0.71,4.67,46.48519897,-70.73770142
Quebec,2407,barley,2024,7,24,56.15,48.73,63.57,0.39,-2.28,9.03,-0.32,0.47,3.22,55.49300003,-73.29139709
New Brunswick / Nouveau-Brunswick,1300,barley,2024,7,13,58.9,48.9,68.9,1.58,0.14,7.88,0.01,0.4,6.1,46.61719894,-66.37850189
Quebec,2401,barley,2024,7,24,55.41,47.87,62.96,0.54,-1.89,19.16,-0.12,0.48,4.32,48.36399841,-66.91259766
Nova Scotia / Nouvelle-Écosse,1200,barley,2024,7,12,56.41,49.56,63.26,0.6,0.74,3.7,0.08,0.41,5.38,45.14590073,-63.33179855
Prince Edward Island / Île-du-Prince-Édouard,1100,barley,2024,7,11,59.91,51.61,68.21,1.18,-6.56,13.04,-0.63,0.56,4.58,46.39030075,-63.2458992
Quebec,2402,barley,2024,7,24,72.31,61.2,83.42,14.8,27.13,50.96,1.68,0.85,3.46,51.06119919,-67.41169739
British Columbia / Colombie-Britannique,5901,barley,2024,8,59,52.83,38.76,66.89,-7.56,-11.84,-4.3,-0.49,0.32,10.73,53.85300064,-125.2580032
British Columbia / Colombie-Britannique,5908,barley,2024,8,59,47.23,38.83,55.63,-9.53,-6.51,-14.43,-0.36,0.58,6.73,57.69950104,-123.1610031
Alberta,4830,barley,2024,8,48,70.79,64.46,77.13,12.03,0.87,17.6,0.04,0.77,5.27,51.08769989,-115.1790009
Alberta,4850,barley,2024,8,48,63.52,57.59,69.44,-7.42,-16.97,-24.74,-1.5,0.68,5.03,52.69950104,-114.6679993
Alberta,4870,barley,2024,8,48,63.41,56.72,70.1,13.23,3.88,7.47,0.26,0.74,4.38,56.94729996,-116.8280029
Alberta,4860,barley,2024,8,48,58.71,51.28,66.15,-5.33,-8.66,-22.03,-0.45,0.59,5.64,56.47129822,-112.810997
Alberta,4820,barley,2024,8,48,64.5,55.15,73.86,2.95,0.75,25.49,0.02,0.79,5.07,50.52590179,-112.5500031
Alberta,4810,barley,2024,8,48,41.59,34.01,49.17,-8.19,8.58,40.5,0.2,0.81,4.7,50.66460037,-110.9089966
Alberta,4840,barley,2024,8,48,57.84,51.2,64.48,4.2,-16.27,-15.31,-0.83,0.88,4.61,52.48089981,-111.4990005
Alberta,4841,barley,2024,8,48,67.73,59.58,75.88,11.24,-5.91,-12.39,-0.41,0.81,5.51,53.36869812,-111.6920013
Saskatchewan,4704,barley,2024,8,47,45.29,37.37,53.21,4.23,5.19,18.57,0.15,0.75,5.32,49.53290176,-108.7890015
Saskatchewan,4703,barley,2024,8,47,38.53,29.38,47.69,-7.11,-4.48,19.66,-0.1,0.76,5.3,49.54230118,-106.4049988
Saskatchewan,4702,barley,2024,8,47,48.26,43.02,53.5,15.62,-9.85,7.25,-0.65,0.79,4.5,49.52310181,-104.2490005
Saskatchewan,4701,barley,2024,8,47,69.24,60.9,77.58,32.59,3.99,16.56,0.34,0.73,6.14,49.52339935,-102.3099976
Saskatchewan,4708,barley,2024,8,47,43.2,32.99,53.41,-6.6,21.07,93.71,0.43,0.7,6.99,50.71530151,-108.8300018
Saskatchewan,4713,barley,2024,8,47,54,47.67,60.33,10.16,2.63,11.12,0.08,0.74,6.65,52.15140152,-109.262001
Saskatchewan,4707,barley,2024,8,47,50.41,41.08,59.73,7.89,9.63,50.93,0.22,0.74,6.11,50.59840012,-106.6139984
Saskatchewan,4712,barley,2024,8,47,50.84,43.64,58.04,5.03,9.23,30.35,0.24,0.83,5.25,51.94589996,-107.7990036
Saskatchewan,4711,barley,2024,8,47,60.29,52.27,68.29,24.13,16.52,17.29,0.43,0.76,6.11,51.67309952,-106.0029984
Saskatchewan,4717,barley,2024,8,47,63.05,56.36,69.74,15.04,-6.98,-11.57,-0.39,0.85,5.58,53.79119873,-108.9599991
Saskatchewan,4716,barley,2024,8,47,60.43,53.88,66.98,10.69,-3.25,-11.78,-0.13,0.8,5.26,56.79359818,-105.9339981
Saskatchewan,4706,barley,2024,8,47,57.49,49.45,65.53,10.09,-8.42,-5.44,-0.49,0.74,5.04,50.59830093,-104.3659973
Saskatchewan,4715,barley,2024,8,47,69.68,62.37,77,22.97,2.96,2.47,0.11,0.82,5.81,52.89289856,-105.586998
Saskatchewan,4710,barley,2024,8,47,68.75,59.32,78.17,25.5,1.82,-7.85,0.07,0.64,7.45,51.6393013,-104.1080017
Saskatchewan,4705,barley,2024,8,47,63.52,55.69,71.35,16.99,-5.51,-5.62,-0.34,0.72,5.73,50.58200073,-102.3919983
Saskatchewan,4714,barley,2024,8,47,68.03,59.25,76.8,17.71,-3.89,-7.07,-0.24,0.73,6.6,53.01649857,-103.3099976
Saskatchewan,4709,barley,2024,8,47,71.8,63.34,80.27,27.23,3.97,-5.65,0.22,0.72,6.43,51.7173996,-102.4309998
Manitoba,4601,barley,2024,8,46,71.02,63.24,78.79,22.82,-0.06,7.27,-0.01,0.75,5.64,49.27149963,-100.3990021
Manitoba,4608,barley,2024,8,46,76.67,68.58,84.76,15.9,-2.81,-0.69,-0.17,0.64,7.81,49.27899933,-98.30419922
Manitoba,4609,barley,2024,8,46,69.92,59.87,79.97,12.39,-10.97,-10.82,-1.73,0.65,10.39,49.63000107,-96.80410004
Manitoba,4604,barley,2024,8,46,72.5,64.32,80.68,20.83,-0.96,1.26,-0.09,0.55,6.34,51.0135994,-101.1809998
Manitoba,4602,barley,2024,8,46,68.86,60.58,77.15,17.37,-1.91,-13.6,-0.12,0.69,6.34,49.79869843,-100.2649994
Manitoba,4603,barley,2024,8,46,67.97,59.8,76.14,11.87,-10.92,-22.23,-0.81,0.75,6.33,50.34700012,-100.387001
Manitoba,4606,barley,2024,8,46,54.96,44.72,65.2,-4.93,-16.64,,-1.3,0.44,7.9,51.12139893,-99.88110352
Manitoba,4605,barley,2024,8,46,76.66,66.74,86.59,28.82,-3.54,-4.53,-0.22,0.68,7.57,52.08010101,-101.052002
Manitoba,4607,barley,2024,8,46,71.39,58.11,84.67,10.61,1.67,-5.19,0.08,0.42,10.3,49.98550034,-98.45970154
Manitoba,4611,barley,2024,8,46,65.77,55.16,76.39,9.33,-3.56,-19.59,-0.14,0.59,9.64,50.22650146,-97.2460022
Manitoba,4610,barley,2024,8,46,51.43,37.3,65.56,2.79,-14.42,-14.42,-0.8,0.49,12.09,49.73680115,-95.84950256
Manitoba,4612,barley,2024,8,46,44.67,32.69,56.65,-19.62,-29.65,,-1.38,0.58,8.19,55.729599,-97.167099
Ontario,3505,barley,2024,8,35,65.27,59.51,71.03,4.81,-2.09,-0.96,-0.2,0.6,3.85,51.1882019,-86.91320038
Ontario,3501,barley,2024,8,35,70.88,57.46,84.3,19.98,-5.67,-21.42,-0.3,0.42,11,42.83430099,-81.15840149
Ontario,3502,barley,2024,8,35,72.64,66.96,78.32,13.82,3.92,1.74,0.57,0.4,4.04,44.06389999,-80.59929657
Ontario,3503,barley,2024,8,35,58.43,49.78,67.07,5.39,-5.11,,-0.18,0.33,7.07,44.89519882,-78.82150269
Ontario,3504,barley,2024,8,35,54.96,49.38,60.53,-6.35,-9.04,-12.77,-0.84,0.5,3.89,45.12820053,-76.3615036
Quebec,2410,barley,2024,8,24,60.33,49.71,70.95,-4,-3.23,21.14,-0.19,0.37,6.24,45.21229935,-73.78250122
Quebec,2409,barley,2024,8,24,61,47.38,74.61,-6.44,-6.04,2.35,-0.25,0.15,9.01,45.51089859,-72.90090179
Quebec,2406,barley,2024,8,24,49.44,37.06,61.82,1.05,25.64,,1.8,0.27,9.26,46.56259918,-75.8506012
Quebec,2405,barley,2024,8,24,62.85,51.38,74.32,1.96,3.38,33.45,0.1,0.51,8.44,46.57379913,-73.90589905
Quebec,2411,barley,2024,8,24,49.14,38.66,59.63,-8.1,-6.78,26.66,-0.27,0.48,6.4,46.09189987,-72.14859772
Quebec,2404,barley,2024,8,24,54.93,49.67,60.2,5,-1.91,,-0.08,0.82,3.61,45.46530151,-71.58560181
Quebec,2403,barley,2024,8,24,58.71,45.62,71.8,3.34,0.22,66.32,0.01,0.61,6.99,47.63639832,-72.93379974
Quebec,2408,barley,2024,8,24,54.55,43.17,65.93,4.24,-0.06,21.22,0,0.66,5.1,46.48519897,-70.73770142
Quebec,2407,barley,2024,8,24,56.23,49.4,63.07,0.54,-2.14,9.19,-0.3,0.42,3.33,55.49300003,-73.29139709
New Brunswick / Nouveau-Brunswick,1300,barley,2024,8,13,50.6,41.82,59.39,-12.73,-13.97,-7.32,-0.83,0.26,6.75,46.61719894,-66.37850189
Quebec,2401,barley,2024,8,24,53.28,47.21,59.34,-3.33,-5.67,14.57,-0.37,0.5,4.19,48.36399841,-66.91259766
Nova Scotia / Nouvelle-Écosse,1200,barley,2024,8,12,55.11,48.54,61.67,-1.73,-1.59,1.31,-0.18,0.47,5.04,45.14590073,-63.33179855
Prince Edward Island / Île-du-Prince-Édouard,1100,barley,2024,8,11,57.58,49.45,65.69,-2.76,-10.21,8.63,-0.98,0.46,5.07,46.39030075,-63.2458992
Quebec,2402,barley,2024,8,24,62.52,57.32,67.73,-0.74,9.92,30.53,0.61,0.86,3.26,51.06119919,-67.41169739
British Columbia / Colombie-Britannique,5901,barley,2024,9,59,50.73,36.58,64.87,-11.23,-15.34,-8.1,-0.63,0.32,10.73,53.85300064,-125.2580032
British Columbia / Colombie-Britannique,5908,barley,2024,9,59,43.79,34.63,52.93,-16.13,-13.33,-20.68,-0.73,0.58,6.73,57.69950104,-123.1610031
Alberta,4830,barley,2024,9,48,71.74,64.75,78.72,13.53,2.22,19.16,0.1,0.74,5.62,51.08769989,-115.1790009
Alberta,4850,barley,2024,9,48,66.26,60.45,72.08,-3.42,-13.39,-21.49,-1.19,0.66,5.18,52.69950104,-114.6679993
Alberta,4870,barley,2024,9,48,64.65,57.86,71.44,15.45,5.92,9.58,0.4,0.73,4.45,56.94729996,-116.8280029
Alberta,4860,barley,2024,9,48,53.18,48.31,58.05,-14.26,-17.28,-29.38,-0.89,0.7,4.88,56.47129822,-112.810997
Alberta,4820,barley,2024,9,48,68.95,61.96,75.95,10.06,7.71,34.15,0.24,0.79,5.11,50.52590179,-112.5500031
Alberta,4810,barley,2024,9,48,45.11,37.87,52.34,-0.42,17.77,52.39,0.42,0.78,4.98,50.66460037,-110.9089966
Alberta,4840,barley,2024,9,48,59.2,53.42,64.97,6.65,-14.31,-13.33,-0.73,0.9,4.31,52.48089981,-111.4990005
Alberta,4841,barley,2024,9,48,72.33,64.52,80.14,18.8,0.48,-6.43,0.03,0.78,5.83,53.36869812,-111.6920013
Saskatchewan,4704,barley,2024,9,47,43.85,36.57,51.13,0.92,1.84,14.8,0.05,0.71,5.87,49.53290176,-108.7890015
Saskatchewan,4703,barley,2024,9,47,35.08,28.98,41.19,-15.43,-13.04,8.94,-0.3,0.84,4.27,49.54230118,-106.4049988
Saskatchewan,4702,barley,2024,9,47,47.55,41.31,53.79,13.92,-11.18,5.67,-0.73,0.79,4.48,49.52310181,-104.2490005
Saskatchewan,4701,barley,2024,9,47,69.81,61,78.62,33.68,4.85,17.52,0.42,0.73,6.14,49.52339935,-102.3099976
Saskatchewan,4708,barley,2024,9,47,43.03,36.23,49.83,-6.96,20.6,92.96,0.42,0.74,6.52,50.71530151,-108.8300018
Saskatchewan,4713,barley,2024,9,47,53.48,48.06,58.89,9.09,1.63,10.04,0.05,0.74,6.5,52.15140152,-109.262001
Saskatchewan,4707,barley,2024,9,47,49.27,41.88,56.65,5.44,7.15,47.5,0.16,0.72,6.2,50.59840012,-106.6139984
Saskatchewan,4712,barley,2024,9,47,53.26,47.25,59.28,10.04,14.44,36.57,0.38,0.84,5.21,51.94589996,-107.7990036
Saskatchewan,4711,barley,2024,9,47,59.43,51.64,67.22,22.36,14.86,15.62,0.39,0.76,6.11,51.67309952,-106.0029984
Saskatchewan,4717,barley,2024,9,47,62.97,55.73,70.21,14.9,-7.09,-11.68,-0.39,0.83,5.94,53.79119873,-108.9599991
Saskatchewan,4716,barley,2024,9,47,59.56,51.38,67.73,9.09,-4.65,-13.06,-0.18,0.68,6.79,56.79359818,-105.9339981
Saskatchewan,4706,barley,2024,9,47,63.3,56.37,70.23,21.2,0.82,4.11,0.05,0.76,4.86,50.59830093,-104.3659973
Saskatchewan,4715,barley,2024,9,47,71.35,64.54,78.17,25.92,5.43,4.93,0.2,0.82,5.74,52.89289856,-105.586998
Saskatchewan,4710,barley,2024,9,47,70.53,61.28,79.78,28.76,4.46,-5.45,0.18,0.64,7.45,51.6393013,-104.1080017
Saskatchewan,4705,barley,2024,9,47,63.79,57.45,70.12,17.49,-5.11,-5.22,-0.32,0.72,5.73,50.58200073,-102.3919983
Saskatchewan,4714,barley,2024,9,47,69.84,60.99,78.68,20.85,-1.33,-4.59,-0.08,0.73,6.6,53.01649857,-103.3099976
Saskatchewan,4709,barley,2024,9,47,72.88,64.5,81.27,29.15,5.54,-4.23,0.3,0.72,6.38,51.7173996,-102.4309998
Manitoba,4601,barley,2024,9,46,70.64,62.79,78.48,22.17,-0.59,6.7,-0.05,0.7,6.23,49.27149963,-100.3990021
Manitoba,4608,barley,2024,9,46,76.6,66.91,86.3,15.8,-2.89,-0.77,-0.18,0.64,7.81,49.27899933,-98.30419922
Manitoba,4609,barley,2024,9,46,71.04,59.83,82.25,14.19,-9.55,-9.39,-1.51,0.65,10.39,49.63000107,-96.80410004
Manitoba,4604,barley,2024,9,46,73.11,65.35,80.87,21.85,-0.12,2.11,-0.01,0.55,6.34,51.0135994,-101.1809998
Manitoba,4602,barley,2024,9,46,60.32,52.14,68.49,2.8,-14.08,-24.32,-0.88,0.65,6.75,49.79869843,-100.2649994
Manitoba,4603,barley,2024,9,46,68.39,60.43,76.35,12.56,-10.37,-21.75,-0.77,0.75,6.33,50.34700012,-100.387001
Manitoba,4606,barley,2024,9,46,54.39,45.03,63.76,-5.91,-17.5,,-1.36,0.44,7.9,51.12139893,-99.88110352
Manitoba,4605,barley,2024,9,46,89.29,79.51,99.08,50.04,12.35,11.2,0.78,0.71,7.22,52.08010101,-101.052002
Manitoba,4607,barley,2024,9,46,72.21,59.56,84.86,11.88,2.83,-4.11,0.14,0.42,10.36,49.98550034,-98.45970154
Manitoba,4611,barley,2024,9,46,66.38,56.18,76.56,10.33,-2.68,-18.86,-0.11,0.61,9.33,50.22650146,-97.2460022
Manitoba,4610,barley,2024,9,46,50.53,38,63.08,1,-15.92,-15.92,-0.88,0.49,12.09,49.73680115,-95.84950256
Manitoba,4612,barley,2024,9,46,47.33,37.98,56.67,-14.84,-25.47,,-1.19,0.68,7.12,55.729599,-97.167099
Ontario,3505,barley,2024,9,35,65.18,59.72,70.63,4.66,-2.22,-1.1,-0.22,0.59,3.88,51.1882019,-86.91320038
Ontario,3501,barley,2024,9,35,72.47,59.31,85.62,22.67,-3.55,-19.66,-0.19,0.42,11,42.83430099,-81.15840149
Ontario,3502,barley,2024,9,35,71.65,65.63,77.67,12.26,2.51,0.35,0.36,0.4,4.04,44.06389999,-80.59929657
Ontario,3503,barley,2024,9,35,59.72,51.13,68.32,7.72,-3.01,,-0.11,0.33,7.07,44.89519882,-78.82150269
Ontario,3504,barley,2024,9,35,54.22,49.83,58.6,-7.61,-10.27,-13.94,-0.95,0.5,3.88,45.12820053,-76.3615036
Quebec,2410,barley,2024,9,24,58.23,48.87,67.6,-7.33,-6.58,16.94,-0.39,0.37,6.24,45.21229935,-73.78250122
Quebec,2409,barley,2024,9,24,59.08,46.35,71.81,-9.39,-9,-0.87,-0.37,0.15,9.01,45.51089859,-72.90090179
Quebec,2406,barley,2024,9,24,49.79,39.14,60.44,1.76,26.52,,1.86,0.27,9.26,46.56259918,-75.8506012
Quebec,2405,barley,2024,9,24,63.19,52.48,73.89,2.5,3.92,34.15,0.11,0.51,8.44,46.57379913,-73.90589905
Quebec,2411,barley,2024,9,24,43.36,34.22,52.5,-18.91,-17.75,11.76,-0.71,0.56,5.91,46.09189987,-72.14859772
Quebec,2404,barley,2024,9,24,55.47,49.79,61.15,6.03,-0.95,,-0.04,0.82,3.61,45.46530151,-71.58560181
Quebec,2403,barley,2024,9,24,48.86,39.99,57.72,-14,-16.6,38.4,-0.48,0.6,7.14,47.63639832,-72.93379974
Quebec,2408,barley,2024,9,24,49.73,40.24,59.22,-4.97,-8.89,10.51,-0.39,0.56,5.83,46.48519897,-70.73770142
Quebec,2407,barley,2024,9,24,56.18,50.1,62.25,0.44,-2.24,9.08,-0.32,0.42,3.33,55.49300003,-73.29139709
New Brunswick / Nouveau-Brunswick,1300,barley,2024,9,13,50.5,41.22,59.78,-12.9,-14.14,-7.5,-0.84,0.26,6.75,46.61719894,-66.37850189
Quebec,2401,barley,2024,9,24,52.91,46.79,59.02,-4,-6.33,13.78,-0.41,0.48,4.32,48.36399841,-66.91259766
Nova Scotia / Nouvelle-Écosse,1200,barley,2024,9,12,54.83,47.29,62.38,-2.23,-2.09,0.79,-0.23,0.39,5.43,45.14590073,-63.33179855
Prince Edward Island / Île-du-Prince-Édouard,1100,barley,2024,9,11,59.22,53.03,65.41,0.02,-7.64,11.74,-0.73,0.52,4.77,46.39030075,-63.2458992
Quebec,2402,barley,2024,9,24,61.67,56.4,66.95,-2.09,8.43,28.76,0.52,0.85,3.46,51.06119919,-67.41169739
Manitoba,4600,canary_seed,2024,7,46,1517.53,1222.37,1812.67,37.53,,-5.15,,0.49,254.33,54.92959976,-97.43240356
Saskatchewan,4701,canary_seed,2024,7,47,1224.86,1035.71,1414,29.87,-10.85,4.87,-0.82,0.72,121.55,49.52339935,-102.3099976
Saskatchewan,4702,canary_seed,2024,7,47,1276.33,1036.64,1516.01,35.72,-0.49,44.71,-0.02,0.74,145.59,49.52310181,-104.2490005
Saskatchewan,4703,canary_seed,2024,7,47,1017.17,701.63,1332.72,29.33,,,,0.56,199.06,49.54230118,-106.4049988
Saskatchewan,4704,canary_seed,2024,7,47,882.87,553.15,1212.59,5.43,,,,0.38,235.55,49.53290176,-108.7890015
Saskatchewan,4705,canary_seed,2024,7,47,1280.69,1055.77,1505.62,30.36,,,,0.71,139.61,50.58200073,-102.3919983
Saskatchewan,4706,canary_seed,2024,7,47,1503.43,1241.67,1765.2,37.07,-0.42,18.29,-0.03,0.67,164.23,50.59830093,-104.3659973
Saskatchewan,4707,canary_seed,2024,7,47,1166.56,925.67,1407.44,19.46,,93.14,,0.56,149.27,50.59840012,-106.6139984
Saskatchewan,4708,canary_seed,2024,7,47,997.76,709.63,1285.89,5.04,35.09,47.82,0.89,0.61,152.87,50.71530151,-108.8300018
Saskatchewan,4709,canary_seed,2024,7,47,1374.53,1121.09,1627.95,41.69,,,,0.59,166.37,51.7173996,-102.4309998
Saskatchewan,4710,canary_seed,2024,7,47,1375.45,1123.83,1627.07,37.17,-7.83,-7.56,-0.43,0.66,160.53,51.6393013,-104.1080017
Saskatchewan,4711,canary_seed,2024,7,47,992.07,713,1271.15,6.19,,78.75,,0.41,204.56,51.67309952,-106.0029984
Saskatchewan,4712,canary_seed,2024,7,47,1256.85,954.5,1559.19,27.4,,,,0.62,180.84,51.94589996,-107.7990036
Saskatchewan,4713,canary_seed,2024,7,47,1353.31,1046.96,1659.66,30.53,7.66,70.44,0.24,0.57,216.66,52.15140152,-109.262001
Saskatchewan,4714,canary_seed,2024,7,47,1450.52,1128.3,1772.75,33.86,7.72,38.67,0.28,0.61,200.75,53.01649857,-103.3099976
Saskatchewan,4715,canary_seed,2024,7,47,1344.21,1025.13,1663.3,21.08,4.32,18.02,0.13,0.63,203.27,52.89289856,-105.586998
Saskatchewan,4716,canary_seed,2024,7,47,1348.97,1028.53,1669.41,25.29,,,,0.59,186.38,56.79359818,-105.9339981
Saskatchewan,4717,canary_seed,2024,7,47,918.05,682.43,1153.66,15.95,,,,0.69,136.69,53.79119873,-108.9599991
Alberta,4800,canary_seed,2024,7,48,1201.88,906.31,1497.44,18.14,,,,0.4,190.22,55.1697998,-114.5110016
